school,state,division,niche_grade
Alabama A & M University,AL,NCAA I,C+
Alabama State University,AL,NCAA I,C
Auburn University,AL,NCAA I,A
Jacksonville State University,AL,NCAA I,B
Samford University,AL,NCAA I,A-
Troy University,AL,NCAA I,B+
University of Alabama,AL,NCAA I,A
University of Alabama at Birmingham,AL,NCAA I,A
University of North Alabama,AL,NCAA I,B
University of South Alabama,AL,NCAA I,A-
Arkansas State University,AR,NCAA I,B
University of Arkansas,AR,NCAA I,A-
University of Arkansas at Pine Bluff,AR,NCAA I,B-
University of Central Arkansas,AR,NCAA I,B
Arizona State University,AZ,NCAA I,A
Grand Canyon University,AZ,NCAA I,B+
Northern Arizona University,AZ,NCAA I,B
University of Arizona,AZ,NCAA I,A-
Cal Poly - San Luis Obispo,CA,NCAA I,A
Cal State - Northridge,CA,NCAA I,B+
Fresno State,CA,NCAA I,B
Long Beach State,CA,NCAA I,A-
Loyola Marymount University,CA,NCAA I,A-
Pepperdine University,CA,NCAA I,A-
Sacramento State,CA,NCAA I,B+
San Diego State University,CA,NCAA I,A-
San Jose State University,CA,NCAA I,B
Santa Clara University,CA,NCAA I,A
Stanford University,CA,NCAA I,A+
University of California-Berkeley,CA,NCAA I,A+
University of California-Davis,CA,NCAA I,A+
University of California-Irvine,CA,NCAA I,A+
University of California-Los Angeles,CA,NCAA I,A+
University of California-Riverside,CA,NCAA I,B+
University of California-Santa Barbara,CA,NCAA I,A
University of San Diego,CA,NCAA I,A-
University of San Francisco,CA,NCAA I,B+
University of Southern California,CA,NCAA I,A+
University of the Pacific,CA,NCAA I,B
Colorado State University,CO,NCAA I,B+
U.S. Air Force Academy,CO,NCAA I,A
University of Colorado,CO,NCAA I,A-
University of Denver,CO,NCAA I,B+
University of Northern Colorado,CO,NCAA I,B-
Fairfield University,CT,NCAA I,A-
Quinnipiac University,CT,NCAA I,B
Sacred Heart University,CT,NCAA I,B-
University of Connecticut,CT,NCAA I,A
Yale University,CT,NCAA I,A+
George Washington University,DC,NCAA I,A
Georgetown University,DC,NCAA I,A+
Howard University,DC,NCAA I,B+
Delaware State University,DE,NCAA I,C+
University of Delaware,DE,NCAA I,A
Bethune-Cookman University,FL,NCAA I,C
Florida A & M University,FL,NCAA I,A-
Florida Atlantic University,FL,NCAA I,A-
Florida Gulf Coast University,FL,NCAA I,B+
Florida International University,FL,NCAA I,A+
Florida State University,FL,NCAA I,A+
Stetson University,FL,NCAA I,B+
University of Central Florida,FL,NCAA I,A
University of Florida,FL,NCAA I,A+
University of Miami,FL,NCAA I,A+
University of North Florida,FL,NCAA I,B+
University of South Florida,FL,NCAA I,A+
Georgia Institute of Technology,GA,NCAA I,A+
Georgia Southern University,GA,NCAA I,B
Georgia State University,GA,NCAA I,B+
Kennesaw State University,GA,NCAA I,B+
Mercer University,GA,NCAA I,B+
