school,state,scorecard_suggestion,suggested_enrollment,suggested_lat,suggested_lon,note
Sacramento State,CA,,,,,NO MATCH FOUND
Univ of the District of Columbia,DC,University of the District of Columbia,3351,38.943819,-77.066247,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Embry-Riddle Aeronautical Univ,FL,,,,,NO MATCH FOUND
University of Illinois at Springfield,IL,University of Illinois Springfield,2263,39.729524,-89.616796,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Indiana University,IN,,,,,NO MATCH FOUND
Indiana-Purdue Univ- Indianapolis,IN,,,,,NO MATCH FOUND
Indiana Wesleyan University,IN,Indiana Wesleyan University-Marion,1974,40.517937,-85.667503,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Ottawa University,KS,,,,,NO MATCH FOUND
Northwest Missouri State Univ,MO,Northwest Missouri State University,4378,40.351692,-94.883339,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Univ of North Carolina at Asheville,NC,,,,,NO MATCH FOUND
Univ of North Carolina at Greensboro,NC,University of North Carolina at Greensboro,14062,36.068236,-79.809414,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Univ of North Carolina Wilmington,NC,University of North Carolina Wilmington,14922,34.225223,-77.875527,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
University of Nebraska,NE,,,,,NO MATCH FOUND
Southeastern Oklahoma State Univ,OK,Southeastern Oklahoma State University,3018,34.006808,-96.376864,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Tennessee Tech University,TN,Tennessee State University,4848,36.166321,-86.828275,"CLOSE MATCH — verify, then fix the name in tennis_schools.json if correct"
Salem International University,WV,,,,,NO MATCH FOUND
Iowa Central CC,IA,,,,,NO MATCH FOUND
Morningside College,IA,,,,,NO MATCH FOUND
Elgin CC,IL,,,,,NO MATCH FOUND
Elmhurst College,IL,,,,,NO MATCH FOUND
Illinois Valley CC,IL,,,,,NO MATCH FOUND
Lewis and Clark CC,IL,,,,,NO MATCH FOUND
